Name,Address,Latitude,Longitude,Category,Wardname,Ownership,LGAname,Wardcode,Func_Stats,Source,Alt_Name
Jauro Sule Cliinic,"Clinic C Hong, A13, Dilpurtu, Hong, Adamawa, Nigeria",10.22802939,12.92763,Primary Health Center,Hong,State Primary Healthcare Development Agency,Hong,ADSHNG06,Unknown,eHA Polio,
Kabaa Primary Health Care,"Kuba, Mubi North, Adamawa, Nigeria",10.36328125,13.37127686,Primary Health Center,Muchalla,State Primary Healthcare Development Agency,Mubi North,ADSMUB08,Unknown,eHA Polio,
Kali Health,"Jada, Adamawa, Nigeria",8.569274902,12.43292236,Primary Health Center,Yeli,State Primary Healthcare Development Agency,Jada,ADSJAD11,Unknown,eHA Polio,
Kojiti Primary Health Center,"Kwadjite, Madagali, Adamawa, Nigeria",10.68670654,13.54571533,Primary Health Center,Pallam,State Primary Healthcare Development Agency,Madagali,ADSMDG07,Unknown,eHA Polio,
Kopa Primary Health Center,"kopa basic heath clinic, Kopa, Michika, Adamawa, Nigeria",10.73777,13.33846,Primary Health Center,Kirchinga,State Primary Healthcare Development Agency,Madagali,ADSMDG05,Unknown,eHA Polio,
Kwa Betso Ward Primary Health Center,"Barama Lokuwa, Mubi North, Adamawa, Nigeria",10.47301,13.28268,Primary Health Center,Betso,State Primary Healthcare Development Agency,Mubi North,ADSMUB02,Unknown,eHA Polio,Kwa Primary Health Center
Kwarhi Primary Health Center,"Hong, Adamawa, Nigeria",10.32868,13.06085,Primary Health Center,Bangshika,State Primary Healthcare Development Agency,Hong,ADSHNG01,Unknown,eHA Polio,
Life Line Clinic,"Numan, Demsa, Adamawa, Nigeria",9.450073242,12.04730225,Primary Health Center,Nassarawo Demsa,State Primary Healthcare Development Agency,Demsa,ADSDSA10,Unknown,eHA Polio,Lifeline Clinic
Madugwa Primary Health Center,"Dirbishi, Mubi South, Adamawa, Nigeria",10.21912,13.4523,Primary Health Center,Bahuli,State Primary Healthcare Development Agency,Mubi North,ADSMUB01,Unknown,eHA Polio,
Malkohi Health Center,"Mayel Kohi, Yola North, Adamawa, Nigeria",9.189880371,12.37567139,Primary Health Center,Namtari,State Primary Healthcare Development Agency,Yola South,ADSYLA08,Unknown,eHA Polio,
Mayo Lope Model Health Center,"Mayo Lope Model Health Center, A4, Numan, Lau, Adamawa, Nigeria",9.237487793,11.68310547,Primary Health Center,Kpasham,State Primary Healthcare Development Agency,Demsa,ADSDSA08,Unknown,eHA Polio,
Mildu Model Primary Health Center,"mildu model primary heath center, A13, Madagali, Adamawa, Nigeria",10.82849121,13.5701294,Primary Health Center,Sukur,State Primary Healthcare Development Agency,Madagali,ADSMDG08,Unknown,eHA Polio,Amatur
Mission For Primary Health Wuro Yan,"Yola North, Adamawa, Nigeria",9.29261,12.2305,Primary Health Center,Ngurore,State Primary Healthcare Development Agency,Yola South,ADSYLA09,Unknown,eHA Polio,
Nasarawo Model Health Center,"Nassarawo Demsa Health Clinic, A345, Numan, Demsa, Adamawa, Nigeria",9.452514648,12.04632568,Primary Health Center,Nassarawo Demsa,State Primary Healthcare Development Agency,Demsa,ADSDSA10,Unknown,eHA Polio,
Ndrag Health Center,"Za-Girta, Michika, Adamawa, Nigeria",10.4743042,13.49407959,Primary Health Center,Zah,State Primary Healthcare Development Agency,Michika,ADSMCH16,Unknown,eHA Polio,
Nzuware Clinic,"Karewa, Palade, Yola South, Adamawa, 640221, Nigeria",9.234497071,12.44030762,Primary Health Center,Karewa,State Primary Healthcare Development Agency,Yola North,ADSYLN06,Unknown,eHA Polio,Pullum Clinic
Polakuni Primary Health Clinic,"Gangfada, Mayo-Belwa, Adamawa, Nigeria",8.663330078,11.89672852,Primary Health Center,Gang Fada,State Primary Healthcare Development Agency,Mayo-Belwa,ADSMWA03,Unknown,eHA Polio,
Ribawo Healthy Clinic,"Marraba, Mubi North, Adamawa, Nigeria",10.35748291,13.32727051,Primary Health Center,Muchalla,State Primary Healthcare Development Agency,Mubi North,ADSMUB08,Unknown,eHA Polio,
Sabon Gari Health Center,"Sabon Gari Health Center, Jada, Adamawa, Nigeria",8.650085449,12.23309326,Primary Health Center,Nyibago,State Primary Healthcare Development Agency,Jada,ADSJAD10,Unknown,eHA Polio,
Sili Tudu Primary Health Center,"Guyuk, Adamawa, Nigeria",9.775512695,11.87268066,Primary Health Center,Chikila,State Primary Healthcare Development Agency,Guyuk,ADSGUY04,Unknown,eHA Polio,
Umbulo Kombuwal Primary Health Care,"Mbangan tiren heath post, Mbulo Kumbar, Jada, Adamawa, Nigeria",8.704101562,11.99908447,Primary Health Center,Mbullo,State Primary Healthcare Development Agency,Jada,ADSJAD09,Unknown,eHA Polio,
Ungwar Nasarawa Primary Health Center,"anguwar nasarawa, A345, Lafia, Larmurde, Adamawa, Nigeria",9.6278,11.81614,Primary Health Center,Lamurde,State Primary Healthcare Development Agency,Lamurde,ADSLMR04,Unknown,eHA Polio,
Vemgo Primary Health Center,"Madagali, Adamawa, Nigeria",10.83728027,13.64471436,Primary Health Center,Bebel,State Primary Healthcare Development Agency,Madagali,ADSMDG01,Unknown,eHA Polio,
Vulpi Basic Health Center,"Larmurde, Adamawa, Nigeria",9.54629,11.72443,Primary Health Center,Rigange,State Primary Healthcare Development Agency,Lamurde,ADSLMR08,Unknown,eHA Polio,
Wamizhili Primary Health Center,"Michika, Adamawa, Nigeria",10.50128174,13.31311035,Primary Health Center,Betso,State Primary Healthcare Development Agency,Mubi North,ADSMUB02,Unknown,eHA Polio,
Wapa Health Clinic,"Kaurami, Demsa, Adamawa, Nigeria",9.27303,12.02106,Primary Health Center,Gengle,State Primary Healthcare Development Agency,Mayo-Belwa,ADSMWA04,Unknown,eHA Polio,
Worogas A Primary Health Center,"Madagali, Adamawa, Nigeria",10.70629883,13.5335083,Primary Health Center,Pallam,State Primary Healthcare Development Agency,Madagali,ADSMDG07,Unknown,eHA Polio,
Wuro Harde Health Center,"Lamurde Wamngo, Mubi South, Adamawa, Nigeria",10.22848,13.26023,Primary Health Center,Lamurde,State Primary Healthcare Development Agency,Mubi South,ADSGYL06,Unknown,eHA Polio,
Yanga Clinic,"Numan, Adamawa, Nigeria",9.406311035,11.66107178,Primary Health Center,Bwalki,State Primary Healthcare Development Agency,Numan,ADSNUM02,Unknown,eHA Polio,
Sangari Tike Primary Health Center,"Fufore, Adamawa, Nigeria",9.0686,12.06855,Primary Health Center,Mbilla,State Primary Healthcare Development Agency,Mayo-Belwa,ADSMWA08,Unknown,eHA Polio,
Kirchinga Primary Health Care,"Kircinga, Madagali, Adamawa, Nigeria",10.78479186,13.35254815,Primary Health Center,Kirchinga,Others,Madagali,ADSMDG05,Unknown,eHA Polio,Kirchinga Health Clinic
Wuro Alkali Primary Health Care Center,"Mubi, Mubi North, Adamawa, Nigeria",10.27204782,13.26889604,Primary Health Center,Sabon Layi,Others,Mubi North,ADSMUB09,Unknown,eHA Polio,
Kojoli Primary Health Care Center,"kajoli heath clinic, Ganye - Jimeta Federal Road, Jada, Adamawa, Nigeria",8.57358606,12.38004136,Primary Health Center,Yeli,Others,Jada,ADSJAD11,Unknown,eHA Polio,
Ngbakawo Primary Health Care Center,"Road, Lafia, Larmurde, Adamawa, Nigeria",9.51988756,11.80236671,Primary Health Center,Ngbakawo,Others,Lamurde,ADSLMR05,Unknown,eHA Polio,
Ngawa Primary Health Care Center,"Namtari Kahu, Girei, Adamawa, Nigeria",9.49291847,12.45222688,Primary Health Center,Jera Bakari,Others,Girei,ADSGRE06,Unknown,eHA Polio,Ngawa Health Clinic
Gwagarap Primary Health Care Center,"Bobore, Shelleng, Adamawa, Nigeria",9.79113,12.05602167,Primary Health Center,Talum,Others,Shelleng,ADSSHG10,Functional,eHA Polio,
Mayo Wandu Health Clinic,"mayo wandu heath clinic, A13, Wuro Ngangandi, Michika, Adamawa, Nigeria",10.7078,13.43834,Primary Health Center,Duhu,State Ministry of Health,Madagali,ADSMDG02,Unknown,eHA Polio,
Nassarawo Primary Health Center,"Sebbore, Mubi South, Adamawa, Nigeria",10.24758414,13.28214766,Primary Health Center,Nassarawo,National Primary Healthcare Development Agency,Mubi South,ADSGYL09,Unknown,eHA Polio,
Mubi North Npi Office,"Mubi, Mubi North, Adamawa, Nigeria",10.26578147,13.27195998,Primary Health Center,Sabon Layi,State Primary Healthcare Development Agency,Mubi North,ADSMUB09,Unknown,eHA Polio,
Dowaya Health Clinic,"Demsa, Adamawa, Nigeria",9.454284668,12.0625,Primary Health Center,Dwam,State Ministry of Health,Demsa,ADSDSA06,Unknown,eHA Polio,
Terreh Primary Health Center,"terreh primary health center, OSM highway, Demsa, Adamawa, Nigeria",9.24966,11.86179,Primary Health Center,Bille,Others,Demsa,ADSDSA01,Unknown,OSGOF,
Jilvu Health Center,"Tumbicha, Mubi North, Adamawa, Nigeria",10.36344,13.4523,Primary Health Center,Muchalla,State Ministry of Health,Mubi North,ADSMUB08,Unknown,eHA Polio,
23rd Armoured Brigade Hospital,"Bargare, Palade, Yola South, Adamawa, Nigeria",9.23538,12.41841,Military and Paramilitary Clinic,Karewa,Federal Ministry of Defence,Yola North,ADSYLN06,Functional,eHA Polio,
Hashan Kuno Clinic,"Sorau - Mubi Road, Mubi, Mubi North, Adamawa, Nigeria",10.26489258,13.25268555,Private Non Profit,Lamurde,State Primary Healthcare Development Agency,Mubi South,ADSGYL06,Unknown,eHA Polio,
Jada Town Primary Health Center,"Jada, Adamawa, Nigeria",8.75605,12.15179,Private Non Profit,Jada 1,State Primary Healthcare Development Agency,Jada,ADSJAD02,Unknown,eHA Polio,
Mallam Babba Township Clinic,"Maya Belwa, Mayo-Belwa, Adamawa, Nigeria",9.050292969,12.05712891,Private Non Profit,Mbilla,State Primary Healthcare Development Agency,Mayo-Belwa,ADSMWA08,Functional,eHA Polio,
Tipsan Primary Health Care Center,"Toungo, Teungo, Adamawa, Nigeria",7.981079102,12.20410156,Private Non Profit,Gumti,State Primary Healthcare Development Agency,Toungo,ADSTNG03,Unknown,eHA Polio,
Guyaku Clinic,"Gombi, Adamawa, Nigeria",10.33709717,12.65930176,Private Non Profit,Guyaku,State Primary Healthcare Development Agency,Gombi,ADSGMB08,Unknown,eHA Polio,
Ajiya Clinic,"Jimeta, Girei, Adamawa, 640221, Nigeria",9.2785097,12.4544595,Private Non Profit,Alkalawa,National Primary Healthcare Development Agency,Yola North,ADSYLN02,Functional,Measles Campaign,
Faith Clinic Lafiya,"Lafia, Larmurde, Adamawa, Nigeria",9.65046,11.81271,Private Non Profit,Lafiya,Others,Lamurde,ADSLMR03,Unknown,OSGOF,
Dalami Health Post,"Dalami, Jada, Adamawa, Nigeria",8.70140596,12.34650307,Dispensary,Leko,Others,Jada,ADSJAD06,Unknown,eHA Polio,
Nwulla Dispensary,"Michika, Adamawa, Nigeria",10.54812,13.45662,Dispensary,Futuless,Others,Michika,ADSMCH02,Unknown,eHA Polio,
Gangsubeni Health Post,"Zing, Taraba, Nigeria",8.65091097,11.78094763,Dispensary,Gang Fada,Others,Mayo-Belwa,ADSMWA03,Unknown,eHA Polio,
Kaftara Maternity,"Paka, Mubi South, Adamawa, Nigeria",10.10591,13.24917,Maternity Home,Nduku,Others,Mubi South,ADSGYL10,Unknown,eHA Polio,
Zabarma Health Post,,9.467325,12.02582,Dispensary,Numan 2,Others,Numan,ADSNUM07,Functional,eHA Polio,
Dowaya Health Post,"Numan, Demsa, Adamawa, Nigeria",9.434517,11.99497,Dispensary,Sabon Pegi,Others,Numan,ADSNUM09,Functional,eHA Polio,
Kula Dutse Health Post,"Ladenu, Shelleng, Adamawa, Nigeria",9.803059,12.10242,Dispensary,Talum,Others,Shelleng,ADSSHG10,Functional,eHA Polio,
Tasha Tiding Health Post,"Hong, Adamawa, Nigeria",10.13421,12.96481,Dispensary,Daksiri,Others,Hong,ADSHNG02,Functional,OSGOF,
Mothol Health Post,"Hong, Adamawa, Nigeria",10.13475,12.93168,Dispensary,Daksiri,Others,Hong,ADSHNG02,Unknown,OSGOF,
Zugwagunli Uding Health Post,"Udin, Hong, Adamawa, Nigeria",10.1492,12.90484,Dispensary,Daksiri,Others,Hong,ADSHNG02,Unknown,OSGOF,
Dundahi Health Post,"Hasga, Mubi North, Adamawa, Nigeria",10.45288,13.3732,Dispensary,Mijilu,Others,Mubi North,ADSMUB07,Functional,OSGOF,
Bahuli Dispensary,,10.25193,13.4106,Dispensary,Bahuli,Others,Mubi North,ADSMUB01,Unknown,OSGOF,
Shashau Health Post,"Miyaduma, Hong, Adamawa, Nigeria",10.32553,12.85211,Dispensary,Garaha,Others,Hong,ADSHNG03,Unknown,OSGOF,
Boku Dispensary,"Warkanza, Michika, Adamawa, Nigeria",10.56199,13.40807,Dispensary,Wambilimi / Tili,Others,Michika,ADSMCH15,Unknown,eHA Polio,
Sebore Fulani A Health Post,"Sebbore, Mubi South, Adamawa, Nigeria",10.24749,13.28264,Dispensary,Nassarawo,Others,Mubi South,ADSGYL09,Unknown,eHA Polio,
Sunshine Hospital,"Sangasumi, Jada, Adamawa, Nigeria",8.44584,12.05213,Private Non Profit,Ganye 1,Others,Ganye,ADSGAN03,Unknown,eHA Polio,
Kula Health Center,,9.814607,12.10298,Primary Health Center,Jumbul,Others,Shelleng,ADSSHG05,Unknown,eHA Polio,
Furemaane Health Clinic,"Mubi South, Adamawa, Nigeria",10.11957,13.20683,Primary Health Center,Pakka,Others,Maiha,ADSMAH07,Unknown,eHA Polio,
Lengdo Clinic,"Jada, Adamawa, Nigeria",8.70204507,12.47244294,Private Non Profit,Mapeo,Others,Jada,ADSJAD07,Functional,eHA Polio,
Banfo Health Post,"Mayo-Belwa, Adamawa, Nigeria",8.693511009,11.85963345,Dispensary,Binyeri,Others,Mayo-Belwa,ADSMWA02,Functional,eHA Polio,
Mbalgare Clinic,"Mayo-Belwa, Adamawa, Nigeria",8.877285957,12.07034779,Primary Health Center,Mayo Farang,Others,Mayo-Belwa,ADSMWA07,Unknown,eHA Polio,
Sangara Health Post,"Jada, Adamawa, Nigeria",8.66384079,12.41552215,Dispensary,Leko,Others,Jada,ADSJAD06,Unknown,eHA Polio,
Gangminioni Health Post,,8.470196,12.02115,Dispensary,Timdore,Others,Ganye,ADSGAN09,Functional,eHA Polio,
Ngavahi Health Post,"Buka, Mubi South, Adamawa, Nigeria",10.20776,13.28777,Dispensary,Gude,Others,Mubi South,ADSGYL04,Functional,eHA Polio,
Yang Health Clinic,,10.09253617,12.21868909,Primary Health Center,Yang,Others,Gombi,ADSGMB10,Unknown,eHA Polio,
Biang Health Clinic,,10.59321607,13.28010314,Private Non Profit,Bazza Margi,Others,Michika,ADSMCH01,Unknown,OSGOF,
Kilange Health Post,"kilange heath post, Maiha, Adamawa, Nigeria",10.17152,13.12448,Dispensary,Humbutudi,Others,Maiha,ADSMAH02,Unknown,eHA Polio,
Mblagyang Health Post,"Health Post Mblagyang, Hong, Adamawa, Nigeria",10.33941,13.04746,Dispensary,Bangshika,Others,Hong,ADSHNG01,Unknown,OSGOF,
Bamako Initiative Dispensary,"Buka, Mubi South, Adamawa, Nigeria",10.19055,13.29413,Dispensary,Gude,Others,Mubi South,ADSGYL04,Unknown,OSGOF,
Gajama Health Post,"Madagali, Adamawa, Nigeria",10.72778,13.51257,Dispensary,Pallam,Others,Madagali,ADSMDG07,Unknown,eHA Polio,
Kwargoshe Health Post,,10.16299725,12.28084755,Dispensary,Boga,Others,Gombi,ADSGMB01,Functional,eHA Polio,
Vapura Midlu Clinic,"Mildo, Madagali, Adamawa, Nigeria",10.79734,13.5731,Private Non Profit,Sukur,Others,Madagali,ADSMDG08,Functional,eHA Polio,
Mafer Clinic,"mafer clinic, Mildo, Madagali, Adamawa, Nigeria",10.79099,13.57403,Private Non Profit,Sukur,Others,Madagali,ADSMDG08,Unknown,eHA Polio,
Beti Health Post,,9.109511375,12.66788006,Dispensary,Beti,Others,Fufore,ADSFUR01,Unknown,eHA Polio,
Jebre Clinic,"Gombi, Adamawa, Nigeria",10.15551853,12.34399796,Private Non Profit,Boga,Others,Gombi,ADSGMB01,Functional,eHA Polio,
Mughullo Clinic,"Ldubam, Michika, Adamawa, Nigeria",10.53254,13.41323,Private Non Profit,Vih / Boka,Others,Michika,ADSMCH14,Unknown,eHA Polio,
Salman Saadu Health Clinic,"Maiha, Adamawa, Nigeria",10.02512,13.06279,Primary Health Center,Manjekin,Others,Maiha,ADSMAH05,Unknown,eHA Polio,
Gangalada Health Post,"gan'alada heath post, Jada, Adamawa, Nigeria",8.70143891,12.04029842,Dispensary,Mbullo,Others,Jada,ADSJAD09,Unknown,eHA Polio,
Yola North Cold Chain Office,"Yola South, Adamawa, 640221, Nigeria",9.27786714,12.44714594,Primary Health Center,Nassarawo,Local Government Area,Yola North,ADSYLN09,Functional,eHA Polio,
Nana Asmau Primary Health Center,"Yola, Yola North, Adamawa, Nigeria",9.20854339,12.47699563,Primary Health Center,Makama B,State Primary Healthcare Development Agency,Yola South,ADSYLA05,Functional,eHA Polio,
Kwakwaah Primary Health Center,,10.19167531,13.04346954,Primary Health Center,Hoserezum,Others,Hong,ADSHNG07,Functional,eHA Polio,
Labau Health Clinic,"Labau Health Clinic, A4, Gora, Shani, Borno, Nigeria",10.05182,12.01508,Primary Health Center,Ketembere,Others,Shelleng,ADSSHG06,Unknown,eHA Polio,
Soo Primary Health Center,"Ganye - Jimeta Federal Road, Jada, Adamawa, Nigeria",8.632013321,12.43935585,Primary Health Center,Leko,Others,Jada,ADSJAD06,Unknown,eHA Polio,
Murke Primary Health Center,"A13, Mulke Barikin Sayejo, Song, Adamawa, Nigeria",9.65763,12.55782167,Primary Health Center,Song Waje,Others,Song,ADSSNG08,Unknown,eHA Polio,
Makera Health Post,,10.28298,13.07632667,Dispensary,Hoserezum,Others,Hong,ADSHNG07,Functional,eHA Polio,
Toungo Primary Health Clinic,,9.241539955,12.44781017,Primary Health Center,Karewa,Others,Yola North,ADSYLN06,Unknown,eHA Polio,
Galamba Pbf Health Center,,9.782811667,12.65277167,Primary Health Center,Song Waje,Others,Song,ADSSNG08,Functional,eHA Polio,Galamba Primary Health Center
Farang Primary Health Center,"farang primary health center, Jada, Adamawa, Nigeria",8.74874902,12.04628125,Primary Health Center,Mbullo,Others,Jada,ADSJAD09,Unknown,eHA Polio,
Sabon Loko Primary Health Center,"Song, Adamawa, Nigeria",9.79003,12.60471,Primary Health Center,Song Gari,Others,Song,ADSSNG07,Functional,eHA Polio,
Sabon Gari Primary Health Center,"A13, Song, Adamawa, Nigeria",9.769256667,12.58369833,Primary Health Center,Song Gari,Others,Song,ADSSNG07,Unknown,eHA Polio,
Boliki Primary Health Center,,9.78301045,12.56445997,Primary Health Center,Song Gari,Others,Song,ADSSNG07,Functional,eHA Polio,Boigi Maternity
Gberwene Primary Health Center,"Song, Adamawa, Nigeria",9.72454623,12.37286189,Primary Health Center,Suktu,State Primary Healthcare Development Agency,Song,ADSSNG09,Functional,eHA Polio,
W Abbo Health Clinic,"kilbawo maternity clinic, Mayo-Belwa, Adamawa, Nigeria",8.829317093,12.08850098,Primary Health Center,Mayo Kalaye,Others,Jada,ADSJAD08,Unknown,eHA Polio,
Pakin Fadde Lakka Primary Health Center,,9.68896779,12.74427128,Primary Health Center,Kilange Funa,Others,Song,ADSSNG04,Unknown,eHA Polio,Pakin Primary Health Center
Sapeu Primary Health Center,"Sapeo Health Clinic, P34, B�ka, Faro, Nord, Cameroun",8.45829882,12.38594166,Primary Health Center,Yeli,Others,Jada,ADSJAD11,Unknown,eHA Polio,
Gampana Health Post,"Mayo-Belwa, Adamawa, Nigeria",8.703317642,11.82508659,Dispensary,Binyeri,Local Government Area,Mayo-Belwa,ADSMWA02,Functional,eHA Polio,Gampana Health Clinic
Buzza Primary Health Center,"A13, Dilpurtu, Hong, Adamawa, Nigeria",10.17740833,12.825365,Primary Health Center,Thilbang,Others,Hong,ADSHNG11,Functional,eHA Polio,Buzza Maternal And Child Health Clinic
Dingai Health Clinic,"Gombi, Adamawa, Nigeria",10.12493134,12.34114361,Primary Health Center,Boga,Others,Gombi,ADSGMB01,Functional,eHA Polio,
Lccn Community Dispensary Gorobi,"Mayo-Belwa, Adamawa, Nigeria",9.08337564,11.77677444,Dispensary,Bajama,Others,Mayo-Belwa,ADSMWA01,Functional,eHA Polio,
Dumna Dutse Primary Health Center,,9.710250854,11.8692894,Primary Health Center,Dumna,State Ministry of Health,Guyuk,ADSGUY06,Unknown,eHA Polio,
Dolabi Health Post,"Dolabi, Yola North, Adamawa, Nigeria",9.35101248,12.31511293,Dispensary,Namtari,Others,Yola South,ADSYLA08,Unknown,eHA Polio,
Wuro Dadi Health Post,"Yola North, Adamawa, Nigeria",9.39196948,12.3538161,Dispensary,Namtari,Others,Yola South,ADSYLA08,Unknown,eHA Polio,
Nice Nursing and Maternity Home,"Yola, Yola North, Adamawa, Nigeria",9.21111966,12.45680748,Maternity Home,Bole Yolde Pate,Others,Yola South,ADSYLA03,Unknown,eHA Polio,
Toungo Nursing and Maternity Home,"Yola, Yola North, Adamawa, Nigeria",9.19775752,12.48545639,Maternity Home,Toungo,Others,Yola South,ADSYLA10,Unknown,eHA Polio,
Pwalamoliye Primary Health Center,"Guyuk, Adamawa, Nigeria",9.909185,11.94894167,Primary Health Center,Guyuk,Others,Guyuk,ADSGUY07,Unknown,eHA Polio,
Lakumna Primary Health Center,,9.910956667,11.96363833,Primary Health Center,Purakayo,Others,Guyuk,ADSGUY10,Unknown,eHA Polio,
Mararraba Kola Primary Health Center,"Kola Health Facility, A4, Numan, Guyuk, Adamawa, Nigeria",9.699017525,11.95321083,Primary Health Center,Kola,Federal Ministry of Health,Guyuk,ADSGUY08,Functional,eHA Polio,
Wawi Primary Health Center,"Guyuk, Adamawa, Nigeria",9.968361667,11.90858333,Primary Health Center,Bobini,Others,Guyuk,ADSGUY02,Functional,eHA Polio,
Kuryaji Primary Health Center,"Song, Adamawa, Nigeria",9.63866806,13.03671551,Primary Health Center,Farang,Others,Fufore,ADSFUR02,Unknown,eHA Polio,Kuriyaji Health Clinic
Bilachi Primary Health Center,"Bilachi health clinic, A4, Wuro Waziri Gadawa, Numan, Adamawa, Nigeria",9.540914,12.0555,Primary Health Center,Dilli,Others,Demsa,ADSDSA04,Unknown,eHA Polio,
Dingle Kasa Health Post,"Dingle Kasa Health Post, OSM highway, Demsa, Adamawa, Nigeria",9.265256,11.85542,Dispensary,Kpasham,Others,Demsa,ADSDSA08,Unknown,eHA Polio,
Dirdiu Primary Health Center,"DasHEN, Jada, Adamawa, Nigeria",8.589899,12.19417,Primary Health Center,Bakari Goso,Others,Ganye,ADSGAN01,Unknown,eHA Polio,Dirdiu Health Clinic
Babidi Health Clinic,"Babidi Health Clinic, Jada, Adamawa, Nigeria",8.639393,12.18663,Primary Health Center,Bakari Goso,Others,Ganye,ADSGAN01,Unknown,eHA Polio,
Timkolba Health Post,"Kurum Maternity, Ganye, Adamawa, Nigeria",8.323963,11.97838,Dispensary,Gamu,Others,Ganye,ADSGAN02,Unknown,eHA Polio,
Lingbi Health Center,,8.391318,11.92155,Primary Health Center,Gurumpawo,Others,Ganye,ADSGAN05,Unknown,eHA Polio,
Jprm Comprehensive Health Clinic,,8.485172,11.9376,Primary Health Center,Timdore,Others,Ganye,ADSGAN09,Unknown,eHA Polio,
Gangjuken Health Post,"Ganye, Adamawa, Nigeria",8.517831,11.91163,Dispensary,Yebbi,Others,Ganye,ADSGAN10,Functional,eHA Polio,
Mbaga Primary Health Center,"Bagga, Mubi South, Adamawa, Nigeria",10.14598,13.29971,Primary Health Center,Gella,Others,Mubi South,ADSGYL03,Unknown,eHA Polio,
Kuvushere Health Clinic,,10.19155,13.33348,Primary Health Center,Gude,State Primary Healthcare Development Agency,Mubi South,ADSGYL04,Unknown,eHA Polio,
Wuro Ahmadu Primary Health Center,,10.26561,13.28446,Primary Health Center,Gude,Others,Mubi South,ADSGYL04,Unknown,eHA Polio,
Kinga Health Post,"Mayo-Oulo, Mayo-Louti, Nord, Cameroun",10.09071,13.30227,Dispensary,Kwaja,Others,Mubi South,ADSGYL05,Functional,eHA Polio,
Mugulbu Primary Health Care Center,"Mugulbu, Mubi North, Adamawa, Nigeria",10.19974,13.22346,Primary Health Center,Mugulbu,Others,Mubi South,ADSGYL07,Functional,eHA Polio,
Sahuda Primary Health Clinic,"Sahuda, Mubi South, Adamawa, Nigeria",10.14218,13.41597,Primary Health Center,Mujara,Others,Mubi South,ADSGYL08,Unknown,eHA Polio,
Demebelle Nursing and Maternity,"Mubi, Mubi North, Adamawa, Nigeria",10.25529,13.26058,Maternity Home,Lamurde,Others,Mubi South,ADSGYL06,Unknown,eHA Polio,
Cocin Health Center Arhan Kunu Sarkin Kilba,"Mubi, Mubi North, Adamawa, Nigeria",10.26604,13.24351,Primary Health Center,Lamurde,Others,Mubi South,ADSGYL06,Unknown,eHA Polio,
Arhan Kunu Clinic,,10.2699,13.23945,Primary Health Center,Lamurde,Others,Mubi South,ADSGYL06,Unknown,eHA Polio,
Holma Unity Clinic,"Gilma, Mubi North, Adamawa, Nigeria",10.26407,13.23458,Private Non Profit,Lamurde,Others,Mubi South,ADSGYL06,Unknown,eHA Polio,
Bungel B Health Center,"Nassarawo, Maiha, Adamawa, Nigeria",9.636853,13.21899,Primary Health Center,Belel,Others,Maiha,ADSMAH01,Unknown,eHA Polio,
Jamtari Health Center,"Maiha, Adamawa, Nigeria",9.5605,13.16631,Primary Health Center,Belel,Others,Maiha,ADSMAH01,Functional,eHA Polio,
Kapule Health Post,"Hong, Adamawa, Nigeria",10.1335,13.10796,Dispensary,Humbutudi,Others,Maiha,ADSMAH02,Unknown,eHA Polio,
Kwabuon Ardo Health Clinic,"Nyibango Ardo Musa, Maiha, Adamawa, Nigeria",10.07048,13.11023,Primary Health Center,Manjekin,Others,Maiha,ADSMAH05,Unknown,eHA Polio,
Paiwawol Primary Health Center,"paiwawoi heath center, Maiha, Adamawa, Nigeria",10.09314,13.13074,Primary Health Center,Manjekin,National Primary Healthcare Development Agency,Maiha,ADSMAH05,Functional,eHA Polio,
Maiha Cottage Hospital,"Sorau - Mubi Road, Paka, Maiha, Adamawa, Nigeria",10.06455,13.189,Cottage Hospital,Mayo Nguli,Others,Maiha,ADSMAH06,Unknown,eHA Polio,
Maane Health Post,"Huddu, Mubi South, Adamawa, Nigeria",10.09249,13.24634,Dispensary,Pakka,Others,Maiha,ADSMAH07,Unknown,eHA Polio,
Mayo Vanmde Maternity,"primary health clinic, Maiha, Adamawa, Nigeria",9.712128,13.11352,Maternity Home,Sorau B,Others,Maiha,ADSMAH09,Unknown,eHA Polio,
Tambajam Pbf Health Center,"primary health clinic, Sorau - Mubi Road, Maiha, Adamawa, Nigeria",9.95204,13.18611,Primary Health Center,Tambajam,Others,Maiha,ADSMAH10,Unknown,eHA Polio,
Mbunto Health Post,"Michika, Adamawa, Nigeria",10.55924,13.48147,Dispensary,Futuless,Others,Michika,ADSMCH02,Unknown,eHA Polio,
Himikeless Primary Health Care,"Kankala, Michika, Adamawa, Nigeria",10.57179,13.50454,Primary Health Center,Futuless,Others,Michika,ADSMCH02,Unknown,eHA Polio,
Himikey Primary Health Care,"Michika, Adamawa, Nigeria",10.57466,13.47719,Primary Health Center,Futuless,Others,Michika,ADSMCH02,Unknown,eHA Polio,
Duno Primary Health Center,"Michika, Adamawa, Nigeria",10.57328,13.47856,Primary Health Center,Futuless,Others,Michika,ADSMCH02,Unknown,eHA Polio,
Bamako Clinic,"Mbororo, Michika, Adamawa, Nigeria",10.64791,13.46658,Private Non Profit,Garta,Others,Michika,ADSMCH03,Unknown,eHA Polio,
Helymi Ghumchi Clinic,"Madagali, Adamawa, Nigeria",10.68831,13.49482,Private Non Profit,Garta,Others,Michika,ADSMCH03,Unknown,eHA Polio,
